,battery_power,clock_speed,ram,n_cores,use_time,px_width,px_height,brand,5g,grade,price
0,1908.9840881818131,0.9431593599626056,5.687524374104278,12.212481431064566,6.239332481634245,728.675566341065,1035.5268927511402,appa,0.8656227281593587,B,8106.876568456718
1,1822.1721933291717,1.1475937045688331,2.7404775049659933,9.120808796361924,6.974805846713413,728.2649897694879,1035.326384423871,appa,0.8407037180688138,C,8795.47544450373
2,2007.5026066770552,1.421126666016849,4.802062713520475,9.541314203890792,7.267195156439529,728.5474688012274,1034.2524030411487,sumseng,0.48794007330819167,C,5724.326522742678
3,1995.5956804877637,0.8658429251273017,9.06672639945565,8.92463002595253,7.067691989604861,728.2208823916822,1034.8417748830866,oranye,0.38327241372801135,A,6238.153157806619
4,1915.1061899904846,1.2364119005429723,6.52136242475819,14.404634341608322,8.910923289418754,728.8245921310901,1035.1368606898307,largeyou,0.5463739634586855,A,7779.606670612092
5,1838.8648112193468,1.246256221625765,6.051639054910185,9.988195051190234,8.691501356764796,728.1843444136647,1035.4361374764096,largeyou,0.5955636640250547,C,7210.979132687251
6,1937.4375441404293,1.3410039179942959,6.348461645529218,11.436862043416248,9.15206362543214,728.2584249177644,1034.2715429892328,oranye,0.41760354126915933,C,8642.251462397839
7,1973.5022416906793,1.4581975118632804,9.3447932193471,13.797959365327593,9.567346310405119,730.6670405427302,1035.2505111218247,appa,0.02686106405921207,C,10101.742243077846
8,2017.9671660189003,0.9524980988224151,1.3197452499752504,12.271317341942785,9.491747970278002,729.3974173059534,1035.5402075318416,appa,0.5136626961604487,A,8641.710698424082
9,2006.061679946023,1.0906235044222015,8.252535681992756,10.995635320270276,7.4438010863307635,728.5634117312175,1035.3046677349155,oranye,0.0380561263240371,C,11556.306974769861
10,2001.0628974398153,0.7145390996642652,4.289836382705186,6.592537788118258,8.493671306001497,728.2772272556622,1035.1646096956345,largeyou,0.33333499300571456,B,5370.933840079284
11,1890.8559858196659,1.582722459448053,6.199932892340584,13.987274364870572,7.383565604094472,727.977889997068,1035.245942856012,sumseng,0.587389232955577,C,6917.223068702253
12,2011.5719958872999,1.3619186971680943,6.682528197946443,12.998013566229815,6.7716004456543875,727.929286371046,1035.2416307610429,sumseng,0.11288452766814627,B,7922.372793261015
13,1983.2873863098694,1.3049575821062631,5.644509343712597,10.299815576650387,7.582547173407528,727.6922876782947,1035.5703539028823,largeyou,0.7731859060414535,C,7674.46668714182
14,1951.6240042556278,1.331270701646552,5.831646089655596,13.476845613975863,9.507067705196297,728.1918228338378,1035.2359952839636,oranye,0.8234242685154783,C,10672.213614619071
15,1860.731787386871,1.172629346330275,6.131571149082527,13.603973314792519,6.724325462657298,728.2588445269082,1035.0922679350795,sumseng,0.4205647387732139,A,10895.04690822409
16,2063.648023497471,0.32440340781930344,2.9045857232371963,12.90062114163932,6.812620270121832,728.43938455628,1034.6425029243783,oranye,0.1601585555749233,B,7049.190573792656
17,1864.522453938124,0.6481907470709338,4.405662203898142,11.011264932273233,8.89255790396179,728.1747461873622,1035.7234908420028,largeyou,0.364464887836386,B,7223.051095531902
18,1974.1699229149376,1.1981190546570506,3.898996438109794,9.112850481286845,8.705079354156615,730.9087137329528,1035.1111532965458,sumseng,0.29159508331042716,B,6414.627652035134
19,1968.2864902303845,1.2672839442863335,7.72442657237083,10.48136394612541,6.641718886890274,728.7532897932667,1034.4323739056551,oranye,0.6196020796719268,B,8474.463465846819
